time_sec,leg_id,planned_x_rel_m,planned_y_rel_m,planned_z_rel_m,actual_x_rel_m,actual_y_rel_m,actual_z_rel_m,actual_x_abs_m,actual_y_abs_m,actual_z_abs_m
0.081388,1,0.000937,0.000000,0.000120,0.001196,-0.001793,0.001932,-0.036129,-0.109793,-0.261154
0.081388,2,0.000937,0.000000,0.000120,0.001321,0.001287,0.001501,-0.035215,0.109287,-0.263031
0.081388,3,0.000937,0.000000,0.000120,0.000785,0.000140,0.001081,-0.036858,-0.107860,-0.262225
0.085067,0,0.001024,0.000000,0.000137,-0.000276,0.000464,0.001415,-0.041353,0.108464,-0.262301
0.085067,1,0.001024,0.000000,0.000137,0.001253,-0.001809,0.001968,-0.036071,-0.109809,-0.261118
0.085067,2,0.001024,0.000000,0.000137,0.001381,0.001303,0.001539,-0.035155,0.109303,-0.262993
0.085067,3,0.001024,0.000000,0.000137,0.000817,0.000108,0.001107,-0.036825,-0.107892,-0.262198
0.088167,0,0.001108,0.000000,0.000153,-0.000274,0.000496,0.001455,-0.041351,0.108496,-0.262260
0.088167,1,0.001108,0.000000,0.000153,0.001295,-0.001809,0.001999,-0.036030,-0.109809,-0.261088
0.088167,2,0.001108,0.000000,0.000153,0.001406,0.001319,0.001569,-0.035129,0.109319,-0.262962
0.088167,3,0.001108,0.000000,0.000153,0.000842,0.000076,0.001135,-0.036800,-0.107924,-0.262170
0.091521,0,0.001198,0.000000,0.000172,-0.000256,0.000512,0.001495,-0.041333,0.108512,-0.262220
0.091521,1,0.001198,0.000000,0.000172,0.001341,-0.001825,0.002023,-0.035984,-0.109825,-0.261063
0.091521,2,0.001198,0.000000,0.000172,0.001469,0.001327,0.001598,-0.035067,0.109327,-0.262934
0.091521,3,0.001198,0.000000,0.000172,0.000894,0.000053,0.001159,-0.036749,-0.107947,-0.262146
0.094921,0,0.001292,0.000000,0.000193,-0.000227,0.000559,0.001550,-0.041304,0.108559,-0.262166
0.094921,1,0.001292,0.000000,0.000193,0.001391,-0.001848,0.002063,-0.035934,-0.109848,-0.261023
0.094921,2,0.001292,0.000000,0.000193,0.001510,0.001327,0.001619,-0.035026,0.109327,-0.262912
0.094921,3,0.001292,0.000000,0.000193,0.000947,0.000037,0.001173,-0.036695,-0.107963,-0.262132
0.098068,0,0.001386,0.000000,0.000213,-0.000184,0.000575,0.001587,-0.041262,0.108575,-0.262129
0.098068,1,0.001386,0.000000,0.000213,0.001458,-0.001840,0.002081,-0.035867,-0.109840,-0.261005
0.098068,2,0.001386,0.000000,0.000213,0.001567,0.001350,0.001649,-0.034968,0.109350,-0.262882
0.098068,3,0.001386,0.000000,0.000213,0.000996,0.000029,0.001188,-0.036646,-0.107971,-0.262117
0.101223,0,0.001483,0.000000,0.000236,-0.000145,0.000607,0.001627,-0.041222,0.108607,-0.262089
0.101223,1,0.001483,0.000000,0.000236,0.001504,-0.001848,0.002102,-0.035820,-0.109848,-0.260984
0.101223,2,0.001483,0.000000,0.000236,0.001606,0.001350,0.001668,-0.034930,0.109350,-0.262863
0.101223,3,0.001483,0.000000,0.000236,0.001055,0.000029,0.001201,-0.036587,-0.107971,-0.262104
0.104522,0,0.001586,0.000000,0.000260,-0.000127,0.000623,0.001658,-0.041204,0.108623,-0.262057
0.104522,1,0.001586,0.000000,0.000260,0.001564,-0.001848,0.002124,-0.035761,-0.109848,-0.260962
0.104522,2,0.001586,0.000000,0.000260,0.001671,0.001350,0.001687,-0.034865,0.109350,-0.262845
0.104522,3,0.001586,0.000000,0.000260,0.001101,0.000029,0.001210,-0.036541,-0.107971,-0.262095
0.107408,0,0.001686,0.000000,0.000284,-0.000080,0.000630,0.001688,-0.041157,0.108630,-0.262028
0.107408,1,0.001686,0.000000,0.000284,0.001645,-0.001848,0.002141,-0.035680,-0.109848,-0.260945
0.107408,2,0.001686,0.000000,0.000284,0.001717,0.001334,0.001699,-0.034819,0.109334,-0.262833
0.107408,3,0.001686,0.000000,0.000284,0.001160,0.000013,0.001229,-0.036482,-0.107987,-0.262076
0.110203,0,0.001788,0.000000,0.000309,-0.000033,0.000638,0.001708,-0.041110,0.108638,-0.262008
0.110203,1,0.001788,0.000000,0.000309,0.001712,-0.001847,0.002162,-0.035612,-0.109847,-0.260924
0.110203,2,0.001788,0.000000,0.000309,0.001771,0.001342,0.001719,-0.034764,0.109342,-0.262813
0.110203,3,0.001788,0.000000,0.000309,0.001219,0.000013,0.001233,-0.036423,-0.107987,-0.262072
0.113233,0,0.001896,0.000000,0.000337,-0.000002,0.000654,0.001734,-0.041079,0.108654,-0.261982
0.113233,1,0.001896,0.000000,0.000337,0.001769,-0.001847,0.002172,-0.035556,-0.109847,-0.260914
0.113233,2,0.001896,0.000000,0.000337,0.001820,0.001334,0.001727,-0.034716,0.109334,-0.262804
0.113233,3,0.001896,0.000000,0.000337,0.001268,0.000013,0.001245,-0.036374,-0.107987,-0.262060
0.116586,0,0.002013,0.000000,0.000368,0.000037,0.000646,0.001758,-0.041040,0.108646,-0.261958
0.116586,1,0.002013,0.000000,0.000368,0.001844,-0.001847,0.002193,-0.035480,-0.109847,-0.260893
0.116586,2,0.002013,0.000000,0.000368,0.001896,0.001342,0.001751,-0.034640,0.109342,-0.262780
0.116586,3,0.002013,0.000000,0.000368,0.001351,0.000021,0.001251,-0.036291,-0.107979,-0.262054
0.120261,0,0.002140,0.000000,0.000404,0.000094,0.000654,0.001771,-0.040983,0.108654,-0.261945
0.120261,1,0.002140,0.000000,0.000404,0.001917,-0.001839,0.002207,-0.035408,-0.109839,-0.260879
0.120261,2,0.002140,0.000000,0.000404,0.001964,0.001334,0.001769,-0.034572,0.109334,-0.262762
0.120261,3,0.002140,0.000000,0.000404,0.001429,0.000021,0.001265,-0.036213,-0.107979,-0.262040
0.123209,0,0.002256,0.000000,0.000436,0.000160,0.000662,0.001800,-0.040917,0.108662,-0.261915
0.123209,1,0.002256,0.000000,0.000436,0.002006,-0.001815,0.002212,-0.035319,-0.109815,-0.260874
0.123209,2,0.002256,0.000000,0.000436,0.002023,0.001318,0.001776,-0.034513,0.109318,-0.262756
0.123209,3,0.002256,0.000000,0.000436,0.001502,0.000021,0.001273,-0.036141,-0.107979,-0.262032
0.126078,0,0.002375,0.000000,0.000470,0.000228,0.000646,0.001804,-0.040850,0.108646,-0.261911
0.126078,1,0.002375,0.000000,0.000470,0.002076,-0.001799,0.002221,-0.035249,-0.109799,-0.260866
0.126078,2,0.002375,0.000000,0.000470,0.002085,0.001318,0.001792,-0.034451,0.109318,-0.262739
0.126078,3,0.002375,0.000000,0.000470,0.001561,0.000029,0.001283,-0.036081,-0.107971,-0.262022
0.129479,0,0.002507,0.000000,0.000509,0.000255,0.000638,0.001818,-0.040822,0.108638,-0.261897
0.129479,1,0.002507,0.000000,0.000509,0.002145,-0.001799,0.002236,-0.035179,-0.109799,-0.260851
0.129479,2,0.002507,0.000000,0.000509,0.002161,0.001318,0.001813,-0.034375,0.109318,-0.262719
0.129479,3,0.002507,0.000000,0.000509,0.001628,0.000029,0.001295,-0.036014,-0.107971,-0.262010
0.133424,0,0.002653,0.000000,0.000555,0.000329,0.000630,0.001840,-0.040748,0.108630,-0.261876
0.133424,1,0.002653,0.000000,0.000555,0.002253,-0.001776,0.002242,-0.035072,-0.109776,-0.260845
